title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
The Doomsday Flight,1966,https://www.rottentomatoes.com/m/the_doomsday_flight,36,NA,"Passengers of a commercial jet are at the mercy of a madman's (Edmond O'Brien) bomb set to explode below 5,000 feet.",William Graham,Frank Price,,,,,Mystery & Thriller,English,,,1h 40m,,William Graham,,,,,
William Comes to Town,1948,https://www.rottentomatoes.com/m/william_comes_to_town,NA,NA,William Brown (William Graham) challenges his gang of outlaws to break into 10 Downing Street to address the failing economy.,Val Guest,John R. Sloan,Val Guest,,,,Comedy,English,,,1h 29m,,William Graham,,,,,
Erase and Forget,2017,https://www.rottentomatoes.com/m/erase_and_forget,NA,70,"The life of James Gordon Gritz, one of the most decorated Vietnam veterans.",Andrea Luka Zimmerman,"Ameenah Ayub Allen, Andrea Luka Zimmerman","Taina Galis, Andrea Luka Zimmerman",,,,Documentary,British English,,,1h 30m,,Ted Kotcheff,,,,,
Hard,2014,https://www.rottentomatoes.com/m/hard,NA,NA,A young woman keeps a big secret from her therapist.,Alexandra Kotcheff,"Alexandra Kotcheff, Michael Falso, Sam Vinal",Alexandra Kotcheff,,,,Drama,English,,,5m,,Ted Kotcheff,,,,,
Fearless,2014,https://www.rottentomatoes.com/m/fearless_2014,NA,NA,An aging actress coming to terms with the early onset of Alzheimer's is forced to confront her decision to kill herself when she saves a young man from suicide.,Ted Kotcheff,"Fionnula Flanagan, Alexandra Kotcheff, Sam Vinal",Alexandra Kotcheff,,,,"Drama, Romance",English,,,26m,,Ted Kotcheff,,,,,
Shattered Glass,2003,https://www.rottentomatoes.com/m/shattered_glass,79,92,"Young hotshot journalist Stephen Glass (Hayden Christensen) puts on a good show for his adoring editor, Michael Kelly (Hank Azaria), but admits deep insecurities to his fellow writer, Caitlin Avey (Chloë Sevigny). When Glass begins turning in outrageous stories, his popularity skyrockets, but rival journalist Charles Lane (Peter Sarsgaard) becomes suspicious as to their factual accuracy, and eventually discovers that Glass has been fabricating many of his sources.",Billy Ray,"Craig Baumgarten, Adam Merims, Gaye Hirsch, Tove Christensen",Billy Ray,Lionsgate Films,"Lionsgate Films, Baumgarten Merims Productions, Cruise-Wagner Productions",PG-13 (Sexual References|Language|Brief Drug Use),Drama,English,"Nov 14, 2003, Wide","Jan 7, 2017",1h 35m,,Ted Kotcheff,Surround,$2.2M,,,
Crime in Connecticut: The Story of Alex Kelly,1999,https://www.rottentomatoes.com/m/crime-in-connecticut-the-story-of-alex-kelly,NA,NA,"After years of hiding in Europe, an accused rapist (Matthew Settle) surrenders and returns to the United States to stand trial.",Ted Kotcheff,Jan Peter Meyboom,,,,,Drama,English,,,1h 36m,,Ted Kotcheff,,,,,
Borrowed Hearts: A Holiday Romance,1997,https://www.rottentomatoes.com/m/borrowed-hearts-a-holiday-romance,77,NA,A man (Eric McCormack) asks a single employee (Roma Downey) and her daughter to pose as his family so that he can win a lucrative deal.,Ted Kotcheff,Mary Kahn,"Pamela Wallace, Earl W. Wallace",,"Atlantis Films, CTV Television Network",TV-G,"Holiday, Drama, Romance, Fantasy",English,,"Jun 2, 2017",1h 37m,,Ted Kotcheff,,,,,
A Strange Affair,1996,https://www.rottentomatoes.com/m/une_autre_facon_daimer,33,NA,"A woman (Judith Light) leaves her cad husband (Jay Thomas), moves back after his stroke and finds love with a friend (William Russ).",Ted Kotcheff,"Patricia Clifford, Margot Winchester",Daniel Freudenberger,,"Patricia Clifford Productions, The Kushner-Locke Company, Tetrahedron Productions",TV-PG,Drama,English,,"May 23, 2017",1h 37m,,Ted Kotcheff,,,,,
Family of Cops,1995,https://www.rottentomatoes.com/m/a_family_of_cops,19,NA,Clearing a daughter (Angela Featherstone) of a murder charge involves a Milwaukee police chief's (Charles Bronson) entire family.,Ted Kotcheff,Peter Bray,,,,"TV-14, PG-13","Mystery & Thriller, Crime, Drama",English,,,1h 37m,,Ted Kotcheff,Stereo,,"Aug 19, 2008",,
Hidden Assassin,1995,https://www.rottentomatoes.com/m/hidden_assassin,24,NA,A U.S. marshal (Dolph Lundgren) believes a French assassin (Maruschka Detmers) who claims she was framed for the Cuban ambassador's murder.,Ted Kotcheff,"Paul Pompian, Silvio Muraglia",,,"PolyGram Filmed Entertainment, Newmarket Capital Group, Arco Films, Canal+, Radio Pictures",R,Action,English,,,1h 29m,,Ted Kotcheff,,,"Sep 3, 2002",,
Love on the Run,1994,https://www.rottentomatoes.com/m/love-on-the-run-1994,NA,NA,"Mismatched newlyweds (Anthony Addabbo, Noelle Beck) stay together running a business for thrill seekers called Adventure Inc.",Ted Kotcheff,,,,Primedia Productions,,Adventure,English,,,1h 37m,,Ted Kotcheff,,,,,
Red Shoe Diaries 5: Weekend Pass,1993,https://www.rottentomatoes.com/m/red_shoe_diaries_5_weekend_pass,NA,NA,"A woman racks up a handsome pool shark in one of three erotic tales from the ""Red Shoe Diaries"" TV series.","Dominique Othenin-Girard, Peter Care, Ted Kotcheff","Rafael Eisenman, Avram ""Butch"" Kaplan, Jeff Young","Melanie Greene, Melanie Finn, Zalman King, David Codikow",,Playboy Entertainment Group,"R, TV-MA",Drama,English,,,1h 26m,,Ted Kotcheff,Stereo,,,,
Red Shoe Diaries 3: Another Woman's Lipstick,1993,https://www.rottentomatoes.com/m/red_shoe_diaries_3_another_womans_lipstick,NA,NA,"Three erotic tales including ""Another Woman's Lipstick,"" in which a woman has an affair with her husband's mistress.","Zalman King, Ted Kotcheff, Rafael Eisenman",,,,Playboy Entertainment Group,"R, TV-MA",Drama,English,,,1h 30m,,Ted Kotcheff,,,,,
Folks!,1992,https://www.rottentomatoes.com/m/folks,53,0,"When Jon (Tom Selleck), a well-heeled professional, visits his mother, Mildred (Anne Jackson), in the hospital, he's unaware of how chaotic his life will soon become. After his father, Harry (Don Ameche), burns down his mobile home, Jon invites his parents to stay with him. Soon, Jon loses his job, his wife (Wendy Crewson) leaves with his children and his sister, Arlene (Christine Ebersole), moves in with her sons. Will his parents' attempt to intervene only lead to more turbulence?",Ted Kotcheff,"Steve Golin, Monty Montgomery",Robert Klane,,Penta Pictures,PG-13,Comedy,English,,,1h 46m,,Ted Kotcheff,"Surround, Stereo",$5.9M,,,
Weekend at Bernie's,1989,https://www.rottentomatoes.com/m/weekend_at_bernies,57,54,"Fun-loving salesmen Richard (Jonathan Silverman) and Larry (Andrew McCarthy) are invited by their boss, Bernie (Terry Kiser), to stay the weekend at his posh beach house. Little do they know that Bernie is the perpetrator of a fraud they've uncovered and is arranging to have them killed. When the plan backfires and Bernie is killed instead, the buddies decide not to let a little death spoil their vacation. They pretend Bernie is still alive, leading to hijinks and corpse desecration galore.",Ted Kotcheff,"Victor Drai, Bruce McNall",Robert Klane,,Gladden Entertainment,PG-13,Comedy,English,,"Jan 9, 2017",1h 37m,,Ted Kotcheff,Surround,$29.4M,,,
Winter People,1989,https://www.rottentomatoes.com/m/winter_people,52,20,A widower (Kurt Russell) with a daughter loves an unwed mother (Kelly McGillis) amid a mountain feud in 1930s North Carolina.,Ted Kotcheff,Robert H. Solo,Carol Sobieski,,Castle Rock Entertainment,PG-13,Drama,English,,"Apr 28, 2017",1h 50m,,Ted Kotcheff,Surround,$1.3M,,,
Switching Channels,1988,https://www.rottentomatoes.com/m/switching_channels,32,60,"Cable news anchor Christy Colleran (Kathleen Turner) and her cagey boss, John L. Sullivan (Burt Reynolds), have a long history together: They used to be married. But now Christy is set to leave journalism and her ex-husband forever by moving to New York City with her fiancé, retail mogul Blaine Bingham (Christopher Reeve). Since Sullivan still has feelings for her, he hatches a plan to keep Christy around by assigning her to a hot news story she can't resist.",Ted Kotcheff,,Jonathan Reynolds,,TriStar Pictures,PG,"Romance, Comedy",English,,"Apr 16, 2012",1h 48m,,Ted Kotcheff,"Stereo, Surround",$8.2M,,,
Joshua Then and Now,1985,https://www.rottentomatoes.com/m/joshua_then_and_now,58,NA,"Joshua Shapiro (James Woods) is a respected writer in England, but his public success masks a troubled upbringing in Montreal's Jewish ghetto. His family was, to say the least, unusual: His mother, Esther (Linda Sorensen), was an exotic dancer, and his father, Reuben (Alan Arkin) a small-time criminal. Using wit and cunning, Joshua climbed the social ladder. But the turmoil of his old life comes rushing back when Joshua returns to Canada with his upper-crust wife, Pauline (Gabrielle Lazure).",Ted Kotcheff,,,,,R,"Comedy, Drama",English,,,1h 59m,,Ted Kotcheff,Stereo,$542.4K,"Mar 15, 2016",,
Uncommon Valor,1983,https://www.rottentomatoes.com/m/1022314-uncommon_valor,62,60,"Col. Cal Rhodes (Gene Hackman), a retired Marine officer, holds out hope that his son, believed to be a prisoner of war in Laos, is still alive. Despite the government's refusal to help Rhodes, he assembles a group to find and rescue his son, including skilled soldiers such as Wilkes (Fred Ward) and Sailor (Randall ""Tex"" Cobb). Funded by MacGregor (Robert Stack), a wealthy executive also looking for his son, Rhodes leads his men on a dangerous mission into the jungles of Laos.",Ted Kotcheff,"John Milius, Buzz Feitshans",Joe Gayton,Paramount Pictures,Paramount,R,"Action, War",English,"Dec 16, 1983, Original","Jul 1, 2013",1h 45m,Flat (1.85:1),Ted Kotcheff,"Surround, Stereo",,,,
Split Image,1982,https://www.rottentomatoes.com/m/split_image,73,NA,Parents pay a deprogrammer (James Woods) to free their son (Michael O'Keefe) who has joined a cult with his girlfriend (Karen Allen).,Ted Kotcheff,Ted Kotcheff,"Scott Spencer, Robert Kaufman, Robert Mark Kamen",,PolyGram Filmed Entertainment,R,Drama,English,,"Aug 9, 2016",1h 51m,,Ted Kotcheff,,,,,
First Blood,1982,https://www.rottentomatoes.com/m/first_blood,86,86,"Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old friend, but is met with intolerance and brutality by the local sheriff, Will Teasle (Brian Dennehy). When Teasle and his deputies restrain and shave Rambo, he flashes back to his time as a prisoner of war and unleashes his fury on the officers. He narrowly escapes the manhunt, but it will take his former commander (Richard Crenna) to save the hunters from the hunted.",Ted Kotcheff,"Buzz Feitshans, Herb Nanas","Michael Kozoll, William Sackheim, Sylvester Stallone, David Morrell",,"Anabasis N.V., Elcajo Productions",R,"Action, Adventure",English,,"Aug 10, 2016",1h 35m,Scope (2.35:1),Ted Kotcheff,Surround,,,,
North Dallas Forty,1979,https://www.rottentomatoes.com/m/north_dallas_forty,71,86,"A brutal satire of American professional football in which a veteran pass-catcher's individuality and refusal to become part of the team ""family"" is bitterly resented by his disciplinarian coaches. The National Football League refused to help in the production of this movie, suggesting it may have been too near the truth for comfort. From the novel by former NFL player Peter Gent.",Ted Kotcheff,Frank Yablans,,,Paramount Pictures,R,"Comedy, Drama",English,"Aug 3, 1979, Original","Dec 2, 2016",2h 0m,,Ted Kotcheff,,,,,
Who Is Killing the Great Chefs of Europe?,1978,https://www.rottentomatoes.com/m/who_is_killing_the_great_chefs_of_europe,70,77,"Food critic Max Vandeveer (Robert Morley) is a gluttonous gourmand whose appetite is killing him. His doctor tells him he needs to lay off the fine dining, or else. That prescription gets a little easier to follow when a highly unusual killing spree hits the fine restaurants of Europe: a murderer is knocking off four-star chefs. At the same time, the murders make the invitation to prepare dessert at a lavish dinner less than auspicious for famous pastry chef Natasha (Jacqueline Bisset).",Ted Kotcheff,,,,,PG,Comedy,English,,,1h 52m,,Ted Kotcheff,,,"Oct 21, 2009",,
Fun With Dick and Jane,1977,https://www.rottentomatoes.com/m/1007977-fun_with_dick_and_jane,51,57,"Dick Harper (George Segal) is the perfect husband. He's got the perfect job and the perfect wife, Jane (Jane Fonda). Things are so perfect for the Harpers that they have just built a swimming pool in their backyard, using money they don't actually have. Then Dick is unexpectedly fired from his job and the couple find themselves deeply in debt. Dick starts looking elsewhere for employment, but when he finds he has no marketable skills, he and Jane have no choice but to turn to a life of crime.",Ted Kotcheff,"Peter Bart, Max Palevsky","David Giler, Jerry Belson, Mordecai Richler",,Columbia,PG,Comedy,English,,"Sep 28, 2010",1h 35m,,Ted Kotcheff,,,,,
The Apprenticeship of Duddy Kravitz,1974,https://www.rottentomatoes.com/m/apprenticeship_of_duddy_kravitz,73,93,"Duddy Kravitz (Richard Dreyfuss) lives in the shadow of his brother, whom his father, Max (Jack Warden), and his Uncle Benjy (Joseph Wiseman) are helping to put through medical school. Seeking to rise above his family's poverty, Duddy aspires to purchase and develop lakefront land near the hotel resort he is working at in Quebec's Laurentian Mountains. But Duddy's quest to make something of himself reveals a harsh determination to do whatever he has to in order to make his dream a reality.",Ted Kotcheff,John Kemeny,Mordecai Richler,,Famous Players-Lasky Corporation,PG,"Comedy, Drama",English,,,2h 1m,,Ted Kotcheff,,,"May 22, 2012",,
Billy Two Hats,1973,https://www.rottentomatoes.com/m/billy_two_hats,44,NA,"After a bank robbery goes wrong, outlaw Billy Two Hats (Desi Arnaz Jr.) is captured by Sheriff Gifford (Jack Warden). Billy's partner, Arch Deans (Gregory Peck), rescues him, but during the escape Deans gets shot in the leg. The wound leaves Deans unable to ride a horse, but Billy refuses to leave him behind. Instead, he builds a horse-drawn cot for him, and they continue together. The apparatus slows them down, however, making them even more vulnerable to capture from the pursuing sheriff.",Ted Kotcheff,"Norman Jewison, Patrick J. Palmer",Alan Sharp,,Algonquin,PG,Western,English,"Mar 20, 1974, Limited","Mar 10, 2017",1h 39m,,Ted Kotcheff,,,,,
